Station Code,Station Name,District,Latitude,Longitude,Year,Month,Day,RF in mm
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,10,10,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,10,11,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,10,12,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,10,13,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,10,14,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,10,15,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,10,16,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,10,17,14.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,10,18,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,10,19,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,10,20,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,10,21,1.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,10,22,46.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,10,23,19.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,10,24,2.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,10,25,2.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,10,26,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,10,27,6.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,10,28,2.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,10,29,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,10,30,2.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,10,31,10.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,1,7.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,2,45.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,3,3.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,4,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,5,24.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,6,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,7,2.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,8,1.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,9,4.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,10,2.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,11,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,12,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,13,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,14,4.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,15,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,16,41.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,17,33.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,18,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,19,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,20,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,21,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,22,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,23,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,24,7.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,25,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,26,85.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,27,5.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,28,19.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,29,21.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,11,30,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,1,12.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,2,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,3,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,4,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,5,32.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,6,28.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,7,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,8,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,9,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,10,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,11,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,12,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,13,6.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,14,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,15,3.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,16,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,17,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,18,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,19,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,20,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,21,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,22,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,23,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,24,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,25,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,26,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,27,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,28,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,29,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,30,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2021,12,31,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,1,10.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,2,6.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,3,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,4,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,5,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,6,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,7,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,8,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,9,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,10,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,11,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,12,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,13,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,14,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,15,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,16,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,17,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,18,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,19,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,20,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,21,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,22,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,23,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,24,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,25,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,26,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,27,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,28,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,29,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,30,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,1,31,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,2,1,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,2,2,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,2,3,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,2,4,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,2,5,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,2,6,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,2,7,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,2,8,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,2,9,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,2,10,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,2,11,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,2,12,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,2,13,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,2,14,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,2,15,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,2,16,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,2,17,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,2,18,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,2,19,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,2,20,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,2,21,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,2,22,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,2,23,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,2,24,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,2,25,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,2,26,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,2,27,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,2,28,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,1,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,2,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,3,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,4,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,5,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,6,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,7,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,8,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,9,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,10,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,11,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,12,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,13,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,14,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,15,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,16,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,17,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,18,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,19,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,20,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,21,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,22,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,23,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,24,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,25,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,26,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,27,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,28,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,29,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,30,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,3,31,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,1,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,2,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,3,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,4,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,5,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,6,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,7,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,8,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,9,8.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,10,9.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,11,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,12,9.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,13,12.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,14,51.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,15,2.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,16,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,17,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,18,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,19,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,20,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,21,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,22,41.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,23,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,24,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,25,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,26,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,27,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,28,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,29,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,4,30,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,1,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,2,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,3,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,4,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,5,12.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,6,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,7,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,8,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,9,6.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,10,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,11,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,12,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,13,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,14,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,15,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,16,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,17,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,18,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,19,5.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,20,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,21,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,22,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,23,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,24,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,25,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,26,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,27,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,28,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,29,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,30,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,5,31,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,1,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,2,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,3,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,4,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,5,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,6,5.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,7,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,8,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,9,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,10,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,11,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,12,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,13,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,14,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,15,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,16,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,17,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,18,6.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,19,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,20,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,21,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,22,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,23,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,24,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,25,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,26,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,27,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,28,0.00
KOMARALINGAM,Komarlingam                   ,Tiruppur,"10°29'17""","77°21'00""",2022,6,29,0.00
